model,strategy,knob,knob_val,seed,n,leaf_acc,pillar_acc,hier_f1,mean_tokens
deepseek/deepseek-chat-v3.1,greedy,-,0,13,150,0.2467,0.3667,0.3067,1683.0
deepseek/deepseek-chat-v3.1,self_consistency,n,4,13,150,0.26,0.3667,0.3133,6725.0
deepseek/deepseek-chat-v3.1,self_consistency,n,8,13,150,0.28,0.3933,0.3367,13426.2
deepseek/deepseek-chat-v3.1,mcts_tax,iterations,8,13,150,0.26,0.3867,0.3233,6904.9
deepseek/deepseek-chat-v3.1,mcts_tax,iterations,16,13,150,0.2533,0.3867,0.32,11247.2
