model,strategy,knob,knob_val,seed,n,leaf_acc,pillar_acc,hier_f1,mean_tokens
anthropic/claude-haiku-4.5,greedy,-,0,13,150,0.2467,0.4667,0.3567,1958.6
anthropic/claude-haiku-4.5,self_consistency,n,4,13,150,0.24,0.4667,0.3533,7847.0
anthropic/claude-haiku-4.5,self_consistency,n,8,13,150,0.24,0.4667,0.3533,15684.1
anthropic/claude-haiku-4.5,mcts_tax,iterations,8,13,150,0.2667,0.46,0.3633,10856.6
anthropic/claude-haiku-4.5,mcts_tax,iterations,16,13,150,0.26,0.4467,0.3533,18914.5
